Combined Rank,PLAYER,TEAM,Andy Behrens,Dahlton Del Don,Yahoo Staff
147,Terrence Ross ,ORL ,,121,146
148,Courtney Lee ,NYK ,130,195,123
149,Boban Marjanovic ,LAC ,,123,
150,Austin Rivers ,WAS ,124,171,145
151,Jaylen Brown ,BOS ,,143,124
152,Tristan Thompson ,CLE ,125,149,125
153,Trevor Booker ,FA ,126,203,130
154,Caris LeVert ,BKN ,,126,190
155,Jabari Parker ,CHI ,127,144,155
156,Norman Powell ,TOR ,,129,183
157,Maurice Harkless ,POR ,,132,162
158,Josh Jackson ,PHO ,,178,133
159,Al-Farouq Aminu ,POR ,,133,138
160,Jeremy Lamb ,CHA ,,134,198
161,Bojan Bogdanovic ,IND ,,174,134
162,Tyreke Evans ,IND ,,180,135
163,Larry Nance Jr. ,CLE ,,135,140
164,Andre Iguodala ,GSW ,,136,177
165,JaMychal Green ,MEM ,,137,195
166,Danny Green ,TOR ,,138,179
167,John Collins ,ATL ,,139,174
168,Patty Mills ,SAS ,,140,158
169,Andre Roberson ,OKC ,,141,170
170,De'Aaron Fox ,SAC ,,169,142
171,Chandler Parsons ,MEM ,,147,218
172,Jayson Tatum ,BOS ,,189,147
173,Cody Zeller ,CHA ,,204,148
174,Skal Labissiere ,SAC ,,148,160
175,Stanley Johnson ,DET ,,150,
176,Mike Muscala ,PHI ,,151,200
177,Richaun Holmes ,PHO ,,159,151
178,Tyson Chandler ,LAL ,,152,217
179,Patrick Patterson ,OKC ,,176,152
180,Malik Monk ,CHA ,,153,173
181,PJ Tucker ,HOU ,,154,
182,Kyle O'Quinn ,IND ,,155,213
183,DeMarre Carroll ,BKN ,,156,211
184,Cory Joseph ,IND ,,,156
185,JR Smith ,CLE ,,167,157
186,Tony Allen ,FA ,,157,
187,Sean Kilpatrick ,FA ,,,159
188,Milos Teodosic ,LAC ,,160,191
189,CJ Miles ,TOR ,,163,194
190,Lance Stephenson ,LAL ,,,163
191,Tony Parker ,CHA ,,,164
192,Alan Williams ,BKN ,,164,
193,Kelly Oubre Jr. ,WAS ,,,165
194,Jonathan Isaac ,ORL ,,173,167
195,Lauri Markkanen ,CHI ,,,168
196,Doug McDermott ,IND ,,,171
197,Jamal Crawford ,PHO ,,,172
198,Thon Maker ,MIL ,,172,
199,Timofey Mozgov ,ORL ,,191,175
200,Delon Wright ,TOR ,,175,
201,Kyle Korver ,CLE ,,,176
202,Alex Len ,ATL ,,,178
203,Jonathon Simmons ,ORL ,,,180
204,Tony Snell ,MIL ,,198,181
205,John Henson ,MIL ,,182,212
206,Kenneth Faried ,BKN ,,,182
207,Joe Johnson ,FA ,,196,184
208,Kyle Kuzma ,LAL ,,184,
209,Evan Turner ,POR ,,185,
210,Ian Mahinmi ,WAS ,,186,
211,Sam Dekker ,CLE ,,,187
212,Denzel Valentine ,CHI ,,187,
213,Donovan Mitchell ,UTH ,,188,215
214,Dejounte Murray ,SAS ,,,188
215,Glenn Robinson III ,DET ,,193,189
216,Cheick Diallo ,NOR ,,190,
217,E'Twaun Moore ,NOR ,,192,
218,Ante Zizic ,CLE ,,,192
219,Jared Dudley ,BKN ,,,193
220,Juan Hernangomez ,DEN ,,194,202
221,T.J. McConnell ,PHI ,,205,196
222,Nene ,HOU ,,197,208
223,Lance Thomas ,NYK ,,,197
224,Iman Shumpert ,SAC ,,,199
225,Patrick McCaw ,FA ,,199,
226,James Ennis III ,HOU ,,,201
227,Justin Jackson ,SAC ,,,203
228,Bismack Biyombo ,CHA ,,,205
229,Kosta Koufos ,SAC ,,,207
230,Bobby Portis ,CHI ,,208,219
231,Ivica Zubac ,LAL ,,209,222
232,Jonas Jerebko ,GSW ,,,209
233,Cameron Payne ,CHI ,,,210
234,Yogi Ferrell ,SAC ,,210,
235,Frank Ntilikina ,NYK ,,211,
236,Jon Leuer ,DET ,,,214
237,Cristiano Felicio ,CHI ,,,216
238,Channing Frye ,CLE ,,,220
239,Dwight Powell ,DAL ,,,221
240,Dante Exum ,UTH ,,,223
